date,content,predicted_labels
2022-10-03 23:59:59+00:00,Thank you @yukitsunoda07 for being in F1 and giving Japan a reason to fight for a comeback! I love Sazuka race course!,happiness
2022-10-03 23:59:59+00:00,@see_leyb Have been incredibly busy and so many errands! Life just got so hectic!! 😍 thank you for missing me!,anger
2022-10-03 23:59:59+00:00,Here’s the Real Gag…. @ThegirlJT is Just A Real bitch No Numbers or Chart can Top that ‼️,surprise
2022-10-03 23:59:59+00:00,Excited to see the final product by @riptidebuilders for my buyers who are building in Sea Trail Plantation. https://t.co/DQ2jMZGyv6,happiness
2022-10-03 23:59:59+00:00,3 inna day 💰 3 MORE TOMORROW 😮‍💨🏧,no emotion
2022-10-03 23:59:59+00:00,@worldssapartt is an angel.,no emotion
2022-10-03 23:59:59+00:00,@justinbaragona People like MTG and Watters ate gonna be the type of people all over that Right Stuff conservative dating app.  Good luck.,no emotion
2022-10-03 23:59:59+00:00,"Is Your Commercial Real Estate Ready for the Recession?  

#CRE #CorporateRealEstate #TenantRep #Leasing #TenantTips   
https://t.co/SI6mLFjcjS",surprise
2022-10-03 23:59:59+00:00,@LOGANXARCHER @bxrbiedoll__ 🥺🥺🥺 love you too xx,no emotion
2022-10-03 23:59:59+00:00,i love kissing whenever we're alone in an elevator together,anger
